District,Total,Date,Population,Vac,,,,,
Ariyalur,21613,01-04-2021,"7,52,481",2872.23199,,,,,
Chengalpattu,122542,01-04-2021,"25,56,244",4793.830323,,,,,
Chennai,769935,01-04-2021,"71,00,000",10844.15493,,,,,
Coimbatore,195513,01-04-2021,"34,72,578",5630.197507,,,,,
Cuddalore,73350,01-04-2021,"26,00,880",2820.199317,,,,,
Dharmapuri,49665,01-04-2021,"15,02,900",3304.611085,,,,,
Dindigul,64599,01-04-2021,"21,61,367",2988.80292,,,,,
Erode,68364,01-04-2021,"22,59,608",3025.480526,,,,,
Kallakurichi,31963,01-04-2021,"13,70,281",2332.587258,,,,,
Kancheepuram,35614,01-04-2021,"11,66,401",3053.323857,,,,,
Kanniyakumari,58603,01-04-2021,"18,63,178",3145.324816,,,,,
Karur,34005,01-04-2021,"10,76,588",3158.589916,,,,,
Krishnagiri,82308,01-04-2021,"18,83,731",4369.41368,,,,,
Madurai,123095,01-04-2021,"39,91,038",3084.285341,,,,,
Nagapattinam,31191,01-04-2021,"16,14,069",1932.445267,,,,,
Namakkal,79705,01-04-2021,"7,35,071",10843.17025,,,,,
The Nilgiris,71691,01-04-2021,"24,71,222",2901.034387,,,,,
Perambalur,20807,01-04-2021,"17,21,179",1208.880657,,,,,
Pudukkottai,42944,01-04-2021,"5,64,511",7607.291975,,,,,
Ramanathapuram,33139,01-04-2021,"19,18,725",1727.13651,,,,,
Ranipet,23098,01-04-2021,"13,37,560",1726.875804,,,,,
Salem,194555,01-04-2021,"12,10,277",16075.24558,,,,,
Sivagangai,36221,01-04-2021,"34,80,008",1040.830941,,,,,
Tenkasi,34222,01-04-2021,"13,41,250",2551.500466,,,,,
Thanjavur,78279,01-04-2021,"14,07,627",5561.061275,,,,,
Theni,27147,01-04-2021,"27,13,858",1000.310259,,,,,
Thoothukudi,36789,01-04-2021,"12,43,684",2958.066519,,,,,
Tiruchirapalli,112607,01-04-2021,"16,65,253",6762.15566,,,,,
Tirunelveli,37745,01-04-2021,"24,02,781",1570.888067,,,,,
Tirupathur,30792,01-04-2021,"17,38,376",1771.308394,,,,,
Tiruppur,66578,01-04-2021,"11,11,812",5988.242617,,,,,
Tiruvallur,88747,01-04-2021,"37,25,697",2382.024088,,,,,
Tiruvannamalai,44632,01-04-2021,"12,68,094",3519.612899,,,,,
Tiruvarur,21317,01-04-2021,"24,68,965",863.3982256,,,,,
Vellore,86575,01-04-2021,"16,14,242",5363.198331,,,,,
Villupuram,73473,01-04-2021,"20,93,003",3510.41064,,,,,
Virudhunagar,111200,01-04-2021,"19,43,309",5722.19858,,,,,
Ariyalur,42209,01-05-2021,"7,52,481",5609.311066,,,,,
Chengalpattu,253093,01-05-2021,"25,56,244",9900.971895,,,,,
Chennai,1489824,01-05-2021,"71,00,000",20983.43662,,,,,
Coimbatore,420719,01-05-2021,"34,72,578",12115.4658,,,,,
Cuddalore,142736,01-05-2021,"26,00,880",5487.988681,,,,,
Dharmapuri,87069,01-05-2021,"15,02,900",5793.399428,,,,,
Dindigul,136797,01-05-2021,"21,61,367",6329.188888,,,,,
Erode,137057,01-05-2021,"22,59,608",6065.521099,,,,,
Kallakurichi,55729,01-05-2021,"13,70,281",4066.976044,,,,,
Kancheepuram,67702,01-05-2021,"11,66,401",5804.350305,,,,,
Kanniyakumari,118684,01-05-2021,"18,63,178",6369.97646,,,,,
Karur,54978,01-05-2021,"10,76,588",5106.68891,,,,,
Krishnagiri,130383,01-05-2021,"18,83,731",6921.529666,,,,,
Madurai,226645,01-05-2021,"39,91,038",5678.84846,,,,,
Nagapattinam,58293,01-05-2021,"16,14,069",3611.55564,,,,,
Namakkal,141673,01-05-2021,"7,35,071",19273.37631,,,,,
The Nilgiris,134372,01-05-2021,"24,71,222",5437.471826,,,,,
Perambalur,33936,01-05-2021,"17,21,179",1971.671744,,,,,
Pudukkottai,81827,01-05-2021,"5,64,511",14495.20027,,,,,
Ramanathapuram,70825,01-05-2021,"19,18,725",3691.253306,,,,,
Ranipet,46185,01-05-2021,"13,37,560",3452.929214,,,,,
Salem,341921,01-05-2021,"12,10,277",28251.4664,,,,,
Sivagangai,66386,01-05-2021,"34,80,008",1907.639293,,,,,
Tenkasi,59832,01-05-2021,"13,41,250",4460.913327,,,,,
Thanjavur,141729,01-05-2021,"14,07,627",10068.64745,,,,,
Theni,58410,01-05-2021,"27,13,858",2152.286523,,,,,
Thoothukudi,79404,01-05-2021,"12,43,684",6384.580006,,,,,
Tiruchirapalli,213558,01-05-2021,"16,65,253",12824.35762,,,,,
Tirunelveli,73599,01-05-2021,"24,02,781",3063.075661,,,,,
Tirupathur,68017,01-05-2021,"17,38,376",3912.674818,,,,,
Tiruppur,135336,01-05-2021,"11,11,812",12172.56155,,,,,
Tiruvallur,183483,01-05-2021,"37,25,697",4924.796622,,,,,
Tiruvannamalai,82085,01-05-2021,"12,68,094",6473.100575,,,,,
Tiruvarur,45361,01-05-2021,"24,68,965",1837.247592,,,,,
Vellore,168592,01-05-2021,"16,14,242",10444.03503,,,,,
Villupuram,100773,01-05-2021,"20,93,003",4814.756596,,,,,
Virudhunagar,185263,01-05-2021,"19,43,309",9533.378377,,,,,
Ariyalur,73058,01-06-2021,"7,52,481",9708.949462,,,,,
Chengalpattu,365153,01-06-2021,"25,56,244",14284.74747,,,,,
Chennai,2027822,01-06-2021,"71,00,000",28560.87324,,,,,
Coimbatore,609487,01-06-2021,"34,72,578",17551.42721,,,,,
Cuddalore,207463,01-06-2021,"26,00,880",7976.646366,,,,,
Dharmapuri,140021,01-06-2021,"15,02,900",9316.721006,,,,,
Dindigul,213175,01-06-2021,"21,61,367",9862.970981,,,,,
Erode,218238,01-06-2021,"22,59,608",9658.223904,,,,,
Kallakurichi,98590,01-06-2021,"13,70,281",7194.874628,,,,,
Kancheepuram,128365,01-06-2021,"11,66,401",11005.22033,,,,,
Kanniyakumari,188314,01-06-2021,"18,63,178",10107.13952,,,,,
Karur,98081,01-06-2021,"10,76,588",9110.356051,,,,,
