District,Total,Date
Ariyalur,21613,01-04-2021
Chengalpattu,122542,01-04-2021
Chennai,769935,01-04-2021
Coimbatore,195513,01-04-2021
Cuddalore,73350,01-04-2021
Dharmapuri,49665,01-04-2021
Dindigul,64599,01-04-2021
Erode,68364,01-04-2021
Kallakurichi,31963,01-04-2021
Kancheepuram,35614,01-04-2021
Kanniyakumari,58603,01-04-2021
Karur,34005,01-04-2021
Krishnagiri,82308,01-04-2021
Madurai,123095,01-04-2021
Nagapattinam,31191,01-04-2021
Namakkal,79705,01-04-2021
The Nilgiris,71691,01-04-2021
Perambalur,20807,01-04-2021
Pudukkottai,42944,01-04-2021
Ramanathapuram,33139,01-04-2021
Ranipet,23098,01-04-2021
Salem,194555,01-04-2021
Sivagangai,36221,01-04-2021
Tenkasi,34222,01-04-2021
Thanjavur,78279,01-04-2021
Theni,27147,01-04-2021
Thoothukudi,36789,01-04-2021
Tiruchirapalli,112607,01-04-2021
Tirunelveli,37745,01-04-2021
Tirupathur,30792,01-04-2021
Tiruppur,66578,01-04-2021
Tiruvallur,88747,01-04-2021
Tiruvannamalai,44632,01-04-2021
Tiruvarur,21317,01-04-2021
Vellore,86575,01-04-2021
Villupuram,73473,01-04-2021
Virudhunagar,111200,01-04-2021
Ariyalur,42209,01-05-2021
Chengalpattu,253093,01-05-2021
Chennai,1489824,01-05-2021
Coimbatore,420719,01-05-2021
Cuddalore,142736,01-05-2021
Dharmapuri,87069,01-05-2021
Dindigul,136797,01-05-2021
Erode,137057,01-05-2021
Kallakurichi,55729,01-05-2021
Kancheepuram,67702,01-05-2021
Kanniyakumari,118684,01-05-2021
Karur,54978,01-05-2021
Krishnagiri,130383,01-05-2021
Madurai,226645,01-05-2021
Nagapattinam,58293,01-05-2021
Namakkal,141673,01-05-2021
The Nilgiris,134372,01-05-2021
Perambalur,33936,01-05-2021
Pudukkottai,81827,01-05-2021
Ramanathapuram,70825,01-05-2021
Ranipet,46185,01-05-2021
Salem,341921,01-05-2021
Sivagangai,66386,01-05-2021
Tenkasi,59832,01-05-2021
Thanjavur,141729,01-05-2021
Theni,58410,01-05-2021
Thoothukudi,79404,01-05-2021
Tiruchirapalli,213558,01-05-2021
Tirunelveli,73599,01-05-2021
Tirupathur,68017,01-05-2021
Tiruppur,135336,01-05-2021
Tiruvallur,183483,01-05-2021
Tiruvannamalai,82085,01-05-2021
Tiruvarur,45361,01-05-2021
Vellore,168592,01-05-2021
Villupuram,100773,01-05-2021
Virudhunagar,185263,01-05-2021
Ariyalur,73058,01-06-2021
Chengalpattu,365153,01-06-2021
Chennai,2027822,01-06-2021
Coimbatore,609487,01-06-2021
Cuddalore,207463,01-06-2021
Dharmapuri,140021,01-06-2021
Dindigul,213175,01-06-2021
Erode,218238,01-06-2021
Kallakurichi,98590,01-06-2021
Kancheepuram,128365,01-06-2021
Kanniyakumari,188314,01-06-2021
Karur,98081,01-06-2021
Krishnagiri,217217,01-06-2021
Madurai,350741,01-06-2021
Nagapattinam,102507,01-06-2021
Namakkal,222067,01-06-2021
The Nilgiris,189140,01-06-2021
Perambalur,54485,01-06-2021
Pudukkottai,140851,01-06-2021
Ramanathapuram,114259,01-06-2021
Ranipet,78748,01-06-2021
Salem,492671,01-06-2021
Sivagangai,115763,01-06-2021
Tenkasi,108091,01-06-2021
Thanjavur,213460,01-06-2021
Theni,102498,01-06-2021
Thoothukudi,155179,01-06-2021
Tiruchirapalli,325807,01-06-2021
Tirunelveli,142276,01-06-2021
Tirupathur,113677,01-06-2021
Tiruppur,235317,01-06-2021
Tiruvallur,288365,01-06-2021
Tiruvannamalai,148711,01-06-2021
Tiruvarur,91475,01-06-2021
Vellore,222271,01-06-2021
Villupuram,163550,01-06-2021
Virudhunagar,274142,01-06-2021
Ariyalur,21830,02-04-2021
Chengalpattu,125183,02-04-2021
Chennai,790235,02-04-2021
Coimbatore,203106,02-04-2021
Cuddalore,75031,02-04-2021
Dharmapuri,50247,02-04-2021
Dindigul,65899,02-04-2021
Erode,69502,02-04-2021
Kallakurichi,32465,02-04-2021
Kancheepuram,36026,02-04-2021
Kanniyakumari,59578,02-04-2021
Karur,34606,02-04-2021
Krishnagiri,83216,02-04-2021
Madurai,125229,02-04-2021
Nagapattinam,31803,02-04-2021
Namakkal,81212,02-04-2021
The Nilgiris,72993,02-04-2021
Perambalur,20963,02-04-2021
Pudukkottai,43390,02-04-2021
Ramanathapuram,33636,02-04-2021
Ranipet,23529,02-04-2021
Salem,196659,02-04-2021
Sivagangai,37063,02-04-2021
Tenkasi,34383,02-04-2021
Thanjavur,79806,02-04-2021
Theni,27815,02-04-2021
Thoothukudi,37396,02-04-2021
Tiruchirapalli,114481,02-04-2021
Tirunelveli,38332,02-04-2021
Tirupathur,31638,02-04-2021
Tiruppur,67757,02-04-2021
Tiruvallur,90444,02-04-2021
Tiruvannamalai,45241,02-04-2021
Tiruvarur,21583,02-04-2021
Vellore,87102,02-04-2021
Villupuram,73861,02-04-2021
Virudhunagar,112109,02-04-2021
Ariyalur,42231,02-05-2021
Chengalpattu,253585,02-05-2021
Chennai,1492075,02-05-2021
Coimbatore,421087,02-05-2021
Cuddalore,142898,02-05-2021
Dharmapuri,87114,02-05-2021
Dindigul,136830,02-05-2021
Erode,137229,02-05-2021
Kallakurichi,55744,02-05-2021
Kancheepuram,67775,02-05-2021
Kanniyakumari,118784,02-05-2021
Karur,54978,02-05-2021
Krishnagiri,130941,02-05-2021
Madurai,227290,02-05-2021
Nagapattinam,58323,02-05-2021
Namakkal,141713,02-05-2021
The Nilgiris,134471,02-05-2021
Perambalur,33966,02-05-2021
Pudukkottai,81993,02-05-2021
Ramanathapuram,70870,02-05-2021
Ranipet,46268,02-05-2021
Salem,342001,02-05-2021
Sivagangai,66394,02-05-2021
Tenkasi,59859,02-05-2021
Thanjavur,141933,02-05-2021
Theni,58424,02-05-2021
Thoothukudi,79494,02-05-2021
Tiruchirapalli,213558,02-05-2021
Tirunelveli,73599,02-05-2021
Tirupathur,68036,02-05-2021
Tiruppur,135410,02-05-2021
Tiruvallur,183652,02-05-2021
Tiruvannamalai,82116,02-05-2021
Tiruvarur,45371,02-05-2021
Vellore,168632,02-05-2021
Villupuram,100808,02-05-2021
Virudhunagar,185469,02-05-2021
Ariyalur,617,02-06-2021
Chengalpattu,801,02-06-2021
Chennai,4866,02-06-2021
Coimbatore,3054,02-06-2021
Cuddalore,4117,02-06-2021
Dharmapuri,612,02-06-2021
Dindigul,477,02-06-2021
Erode,569,02-06-2021
Kallakurichi,56,02-06-2021
Kancheepuram,735,02-06-2021
Kanniyakumari,406,02-06-2021
Karur,0,02-06-2021
Krishnagiri,2245,02-06-2021
Madurai,973,02-06-2021
Nagapattinam,708,02-06-2021
Namakkal,389,02-06-2021
The Nilgiris,696,02-06-2021
Perambalur,222,02-06-2021
Pudukkottai,842,02-06-2021
Ramanathapuram,2137,02-06-2021
Ranipet,1203,02-06-2021
Salem,3156,02-06-2021
Sivagangai,1718,02-06-2021
Tenkasi,219,02-06-2021
Thanjavur,225,02-06-2021
Theni,6428,02-06-2021
Thoothukudi,2975,02-06-2021
Tiruchirapalli,2859,02-06-2021
Tirunelveli,1368,02-06-2021
Tirupathur,2222,02-06-2021
Tiruppur,1877,02-06-2021
Tiruvallur,1258,02-06-2021
Tiruvannamalai,1845,02-06-2021
Tiruvarur,12,02-06-2021
Vellore,938,02-06-2021
Villupuram,1329,02-06-2021
Virudhunagar,686,02-06-2021
Ariyalur,22173,03-04-2021
Chengalpattu,128142,03-04-2021
Chennai,811559,03-04-2021
Coimbatore,207400,03-04-2021
Cuddalore,76977,03-04-2021
Dharmapuri,50870,03-04-2021
Dindigul,67017,03-04-2021
Erode,70812,03-04-2021
Kallakurichi,33063,03-04-2021
Kancheepuram,36662,03-04-2021
Kanniyakumari,60728,03-04-2021
Karur,35235,03-04-2021
